time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-27T23:44:03.001Z,-6.0684,147.0184,93.29,4.7,mb,,75,3.317,0.77,us,us60003svg,2019-05-28T00:02:47.040Z,"72km N of Lae, Papua New Guinea",earthquake,8.1,5.1,0.088,39,reviewed,us,us
2019-05-27T23:29:32.704Z,-56.3141,-27.6801,120.29,5.8,mww,,54,5.427,0.93,us,us60003sv9,2019-05-28T15:41:22.040Z,"52km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.4,6.2,0.071,19,reviewed,us,us
2019-05-27T21:56:15.770Z,-30.6514,-71.6553,24.24,4.4,mb,,178,0.028,0.96,us,us60003su9,2019-05-27T22:13:05.040Z,"44km W of Ovalle, Chile",earthquake,2.8,6.3,0.31,3,reviewed,us,us
2019-05-27T18:27:20.960Z,45.861,-111.3566667,5.23,2.96,ml,32,71,0.047,0.18,mb,mb80345919,2019-05-28T03:28:04.440Z,"1km WNW of Manhattan, Montana",earthquake,0.32,1.09,0.221,25,reviewed,mb,mb
2019-05-27T15:25:24.989Z,-33.0339,-72.0603,16.84,4.4,mwr,,137,0.355,0.69,us,us60003sr2,2019-05-28T14:28:31.823Z,"40km W of Valparaiso, Chile",earthquake,4.2,1.7,0.037,69,reviewed,us,us
2019-05-27T15:01:50.080Z,32.8606667,-116.216,7.82,2.77,ml,63,50,0.1213,0.25,ci,ci38606536,2019-05-27T15:13:09.300Z,"25km NW of Ocotillo, CA",earthquake,0.27,1.37,0.187,26,automatic,ci,ci
2019-05-27T14:23:14.473Z,36.453,71.101,216.22,4.3,mb,,59,1.164,1.23,us,us60003sq6,2019-05-27T15:29:49.040Z,"46km WSW of Ashkasham, Afghanistan",earthquake,7.5,6.6,0.084,40,reviewed,us,us
2019-05-27T14:21:44.613Z,-46.5755,166.0172,19.97,4.5,mb,,213,0.615,0.5,us,us60003sq2,2019-05-27T15:09:57.040Z,"155km W of Riverton, New Zealand",earthquake,12.7,4.6,0.192,8,reviewed,us,us
2019-05-27T13:33:59.974Z,0.3776,122.0844,190.11,4.7,mb,,82,1.492,0.68,us,us60003spu,2019-05-27T13:54:12.040Z,"33km WSW of Tilamuta, Indonesia",earthquake,8.7,4.7,0.108,26,reviewed,us,us
2019-05-27T10:14:20.220Z,-4.6521,152.9065,55.84,5.3,mb,,99,0.87,0.92,us,us60003sp3,2019-05-27T10:27:06.040Z,"24km SW of Taron, Papua New Guinea",earthquake,7.2,7.1,0.081,51,reviewed,us,us
